Date,China Adjusted net national income,European Union Adjusted net national income,United States Adjusted net national income,World Adjusted net national income
1971-01-01, Null ,36580852604817,287586679315379, Null 
1972-01-01, Null ,485747795537101,572381743368568,552934257928892
1973-01-01, Null ,545960002726007,532238303050201,596314776086156
1974-01-01, Null ,309404890762991,-430419361452945,-160636051308616
1975-01-01, Null ,-553515640832885,-375400181460662,633040132275298
1976-01-01, Null ,45090266487374,535803958790753,490784895800304
1977-01-01, Null ,259005709836715,38568287507961,34222296945341
1978-01-01, Null ,380123007557805,523795414313281,473352699287071
1979-01-01, Null ,3144784314999,-855487672966674,152058973277423
1980-01-01, Null ,-104543617163571,-194842099398842,440419982627873
1981-01-01, Null ,-133149993309053,390822481917414,167104964573774
1982-01-01, Null ,836408937741325,149645370575348,940579741491405
1983-01-01, Null ,173567716183847,279271322629297,372776750918098
1984-01-01, Null ,251812794886162,820219259020536,602132059320111
1985-01-01, Null ,252370146305098,421664582119547,585561299389488
1986-01-01, Null ,526489827654821,349694737393516,376562648905899
1987-01-01, Null ,313080867434996,363639997812446,274869593632705
1988-01-01, Null ,4511114948317,604612612478333,251616661936515
1989-01-01, Null ,344444086744451,204614492035114,26581506405422
1990-01-01, Null ,35741209697028,118615220497482,311413904030222
1991-01-01, Null ,195403692902917,435489712589558,122146569530901
1992-01-01, Null ,144444639384815,34486437281617,259055129867374
1993-01-01, Null ,-987672887705898,204328379719065,148900205231965
1994-01-01, Null ,255425877486275,460337270329639,40364179708142
1995-01-01, Null ,32812387053357,351093783256565,298423242203872
1996-01-01,124904692095544,196213391981507,449304783251769,260833089069683
1997-01-01,951041789469748,27066679371603,542237730556219,400597904795927
1998-01-01,787026450577395,330710320782272,596227695724845,195518222002468
1999-01-01,906006318019953,307412250598553,408266863811177,295589185649708
2000-01-01,948953920004818,230289503609495,401069889639696,357037614469331
2001-01-01,109918552061003,208263126649713,784583968150045,185636027390854
2002-01-01,125322660158951,819826257335947,264924903488844,409484479420064
2003-01-01,115679375941581,113379564945801,108528056790288,134479488318378
2004-01-01,108407003861207,297840799524307,391326820778642,548876295998122
2005-01-01,129240498841934,157793691608614,347419641112484,383313014416915
2006-01-01,146522748388729,34384472439984,35163550971405,520234200481666
2007-01-01,151717729543141,296184732104766,352110650033822,502949487038229
2008-01-01,634132401172376,-86215660771181,-312656911347335,-312708399791887
2009-01-01,129034904473137,-375780477138881,-115299778820287,-555961855544453
2010-01-01,871853201376895,197131756967492,473511931494662,530456637229197
2011-01-01,482519803565253,123990912368177,22246570293689,272349193839001
2012-01-01,102605237747659,-97781052309773,357995041332219,-870747017046473
2013-01-01,594876050840405,461960081379004,129450588598033,235495062419055
2014-01-01,867105627236349,1740937911475,290091093290756,325481058895124
2015-01-01,696373934217445,273613880613523,397440342849423,327523946889502
2016-01-01,821008011771782,282624448533238,618929993065692,260025141723399
2017-01-01,684350548630393,258156906023406,278012956200655,35939186637673
2018-01-01,400396785052766,190399569094875,239221619266716,232996381817161
2019-01-01,477130373962642,204422956351738,211278758942342,253543812841772
2020-01-01,-447950875826464,-737193010980255,-395213346285185,-44602864443342
