Date,China Broad money growth,United States Broad money growth
1960-01-01,Null,819460579513792
1961-01-01,Null,893382779986005
1962-01-01,Null,93171255659845
1963-01-01,Null,903167020355338
1964-01-01,Null,862152107267153
1965-01-01,Null,471990148792604
1966-01-01,Null,102775161470392
1967-01-01,Null,877904954077373
1968-01-01,Null,958344860230048
1969-01-01,Null,111850629294424
1970-01-01,Null,13955250883956
1971-01-01,Null,135903930152841
1972-01-01,Null,101759792214653
1973-01-01,Null,785072700610933
1974-01-01,Null,101784316722007
1975-01-01,Null,102083088148758
1976-01-01,Null,120348645630564
1977-01-01,364631873252563,11271007866993
1978-01-01,492413172979656,9792314098081
1979-01-01,258547974092484,106793254282949
1980-01-01,183471964574233,120644346884282
1981-01-01,145623704302978,10032206871638
1982-01-01,197334157214106,827125759017351
1983-01-01,326489236213506,125333214655863
1984-01-01,35470334861748,829309883710408
1985-01-01,302303636997682,937545261766202
1986-01-01,253410200674164,406452029119357
1987-01-01,206688114208158,679098045293505
1988-01-01,18652169837848,531736340332442
1989-01-01,288665946932793,267796315144365
1990-01-01,26679108289799,150050822184513
1991-01-01,307996709482819,-153170227029685
1992-01-01,466697907289342,596428630339938
1993-01-01,315001345261317,404668958759194
1994-01-01,294610222014778,686921920992869
1995-01-01,252731567986698,786548945474707
1996-01-01,207273116736513,80034975144461
1997-01-01,149043500655997,96018980689528
1998-01-01,146664777063988,9508532583145
1999-01-01,123247819807429,811046448534502
2000-01-01,15042413505773,79327961660052
2001-01-01,131404362825777,44521933056666
2002-01-01,192397666568681,440369366436937
2003-01-01,148869201406815,574204572685685
2004-01-01,16741652395309,807350612101042
2005-01-01,221161188523734,900282393246698
2006-01-01,167355345835518,117134893815654
2007-01-01,17778107551017,817510450082247
2008-01-01,284232778726154,551260115427482
2009-01-01,189483146133247,-275233991566368
2010-01-01,173229697862854,668335521506315
2011-01-01,143916520166902,49016933844745
2012-01-01,135889022146314,450111351356626
2013-01-01,110119361361336,517839955418545
2014-01-01,13343101694296,314303976348123
2015-01-01,113331189514331,384943175924811
2016-01-01,810977796183974,480195396372877
2017-01-01,699106169351358,403042002361151
2018-01-01,88822790596896,839189902015057
2019-01-01,100135623141248,171995063481486
