Date,Median Home Price (NSA),CPI-Adjusted Price
1953-01-15,18080.26,198676.23
1953-02-15,18080.26,199425.95
1953-03-15,18080.26,198676.23
1953-04-15,18122.25,199137.64
1953-05-15,18143.25,198621.7
1953-06-15,18143.25,197880.57
1953-07-15,18185.25,198338.65
1953-08-15,18206.25,197829.52
1953-09-15,18227.25,198057.71
1953-10-15,18227.25,197324.16
1953-11-15,18206.25,197829.52
1953-12-15,18206.25,197829.52
1954-01-15,18206.25,197829.52
1954-02-15,18227.25,198057.71
1954-03-15,18227.25,198057.71
1954-04-15,18206.25,198567.69
1954-05-15,18206.25,197829.52
1954-06-15,18227.25,198057.71
1954-07-15,18290.25,198742.26
1954-08-15,18332.24,199198.53
1954-09-15,18374.24,200399.88
1954-10-15,18353.24,200170.84
1954-11-15,18353.24,200170.84
1954-12-15,18374.24,201150.44
1955-01-15,18395.24,201380.34
1955-02-15,18332.24,200690.65
1955-03-15,18290.25,200230.97
1955-04-15,18185.25,199081.49
1955-05-15,18185.25,199081.49
1955-06-15,18269.25,200001.07
1955-07-15,18332.24,199941.81
1955-08-15,18437.24,201087
1955-09-15,18479.24,200795.83
1955-10-15,18458.24,200567.65
1955-11-15,18416.24,200111.27
1955-12-15,18374.24,200399.88
1956-01-15,18332.24,199941.81
1956-02-15,18269.25,199254.8
1956-03-15,18206.25,198567.69
1956-04-15,18122.25,196916.77
1956-05-15,18143.25,196414.79
1956-06-15,18332.24,197001.49
1956-07-15,18479.24,197131.68
1956-08-15,18605.23,199202.72
1956-09-15,18584.23,198251.68
1956-10-15,18563.24,197307.67
1956-11-15,18521.24,196861.25
1956-12-15,18542.24,196370.38
1957-01-15,18605.23,197037.47
1957-02-15,18773.23,198098.92
1957-03-15,18773.23,197386.33
1957-04-15,18899.22,197998.8
1957-05-15,18962.22,197949.32
1957-06-15,18899.22,196589.55
1957-07-15,18899.22,195200.23
1957-08-15,18899.22,195200.23
1957-09-15,18962.22,195850.92
1957-10-15,19067.21,196935.31
1957-11-15,19067.21,196241.87
1957-12-15,19046.22,196025.84
1958-01-15,19067.21,194869.55
1958-02-15,19067.21,194869.55
1958-03-15,19235.21,195221.35
1958-04-15,19277.21,194970.64
