Date,Oil
1968-01-01,1429276
1968-04-01,1414358
1968-07-01,140056
1968-10-01,1381018
1969-01-01,1319696
1969-04-01,1303053
1969-07-01,1284993
1969-10-01,1268633
1970-01-01,1322491
1970-04-01,130431
1970-07-01,1293706
1970-10-01,1276853
1971-01-01,1346873
1971-04-01,1329363
1971-07-01,1316008
1971-10-01,1305171
1972-01-01,1305547
1972-04-01,1297602
1972-07-01,1285532
1972-10-01,1269416
1973-01-01,1589961
1973-04-01,1566099
1973-07-01,1536781
1973-10-01,1506814
1974-01-01,4200493
1974-04-01,4578495
1974-07-01,4353161
1974-10-01,4209694
1975-01-01,425912
1975-04-01,4365884
1975-07-01,446244
1975-10-01,4616406
1976-01-01,4110081
1976-04-01,4093122
1976-07-01,4069103
1976-10-01,4019912
1977-01-01,4186191
1977-04-01,4172287
1977-07-01,4122484
1977-10-01,4063529
1978-01-01,3964673
1978-04-01,3888978
1978-07-01,3827633
1978-10-01,3820387
1979-01-01,4048079
1979-04-01,4764622
1979-07-01,5840722
1979-10-01,6429127
1980-01-01,7510675
1980-04-01,7789193
1980-07-01,7692823
1980-10-01,7626432
1981-01-01,8204085
1981-04-01,7853414
1981-07-01,7344148
1981-10-01,7192374
1982-01-01,6928265
1982-04-01,6474497
1982-07-01,6384495
1982-10-01,6301723
1983-01-01,5707499
1983-04-01,5363747
1983-07-01,5437576
1983-10-01,5413846
1984-01-01,5271674
1984-04-01,5281985
1984-07-01,5183257
1984-10-01,5085088
1985-01-01,479985
1985-04-01,4814717
1985-07-01,4630178
1985-10-01,4625492
1986-01-01,328967
1986-04-01,2207077
1986-07-01,2367991
1986-10-01,2619999
1987-01-01,3078044
1987-04-01,3252343
1987-07-01,3395095
1987-10-01,3081326
1988-01-01,2737032
1988-04-01,2802341
1988-07-01,2435147
1988-10-01,2348802
1989-01-01,2908209
1989-04-01,3179404
1989-07-01,2986867
1989-10-01,3125109
1990-01-01,3309184
1990-04-01,2671928
1990-07-01,3937033
1990-10-01,4715083
1991-01-01,3202433
1991-04-01,3017616
1991-07-01,3127132
1991-10-01,3120199
1992-01-01,2703192
1992-04-01,3011451
1992-07-01,306336
1992-10-01,2876317
1993-01-01,2766993
1993-04-01,2743669
1993-07-01,2456203
1993-10-01,2254631
1994-01-01,2025745
1994-04-01,2418027
1994-07-01,2500327
1994-10-01,2372898
1995-01-01,2457522
1995-04-01,2576976
1995-07-01,2365599
1995-10-01,2392666
1996-01-01,2590772
1996-04-01,2833695
1996-07-01,2916504
1996-10-01,3188411
1997-01-01,2930914
1997-04-01,2559136
1997-07-01,2534929
1997-10-01,254489
1998-01-01,2033332
1998-04-01,1863501
1998-07-01,1801108
1998-10-01,163284
1999-01-01,1641297
1999-04-01,2209427
1999-07-01,2709695
1999-10-01,3053911
2000-01-01,3551167
2000-04-01,352564
2000-07-01,3848354
2000-10-01,3872927
2001-01-01,3466808
2001-04-01,333409
2001-07-01,3175545
2001-10-01,2421789
2002-01-01,256301
2002-04-01,3094649
2002-07-01,3326486
2002-10-01,3294377
2003-01-01,3956416
2003-04-01,3352071
2003-07-01,3475433
2003-10-01,3571047
2004-01-01,4000242
2004-04-01,4315049
2004-07-01,4906212
2004-10-01,5363709
2005-01-01,5471247
2005-04-01,5795637
2005-07-01,6838746
2005-10-01,6444504
2006-01-01,6742582
2006-04-01,7444258
2006-07-01,7393129
2006-10-01,6275197
2007-01-01,6008615
2007-04-01,6684946
2007-07-01,7737335
2007-10-01,9264636
2008-01-01,9941194
2008-04-01,12521104
2008-07-01,11843762
2008-10-01,5845481
2009-01-01,4288541
2009-04-01,5950148
2009-07-01,6828839
2009-10-01,7593001
2010-01-01,782303
2010-04-01,770452
2010-07-01,7498217
2010-10-01,8347049
2011-01-01,9134399
2011-04-01,9911516
2011-07-01,8645954
2011-10-01,9047124
2012-01-01,9848053
2012-04-01,8902579
2012-07-01,8736778
2012-10-01,8303268
2013-01-01,8870323
2013-04-01,8830002
2013-07-01,9884265
2013-10-01,9043659
2014-01-01,9133254
2014-04-01,9506726
2014-07-01,8956931
2014-10-01,6693382
2015-01-01,4440704
2015-04-01,5262572
2015-07-01,4209923
2015-10-01,3796393
2016-01-01,2999518
2016-04-01,4081295
2016-07-01,4017298
2016-10-01,4378191
2017-01-01,4591442
2017-04-01,4267754
2017-07-01,4239178
2017-10-01,4844979
2018-01-01,5749605
2018-04-01,617008
2018-07-01,6302521
2018-10-01,5313278
2019-01-01,4918411
2019-04-01,5328734
2019-07-01,5003255
2019-10-01,5038407
2020-01-01,4034446
2020-04-01,2464759
2020-07-01,3592176
2020-10-01,3711994
2021-01-01,4996887
2021-04-01,5628849
2021-07-01,5929004
2021-10-01,6390622
2022-01-01,7640928
2022-04-01,8795319
