Date,Silver
1968-01-02,2.17
1968-01-03,2.23
1968-01-04,2.17
1968-01-05,2.16
1968-01-08,2.16
1968-01-09,2.11
1968-01-10,2.09
1968-01-11,2.09
1968-01-12,2.13
1968-01-15,2.11
1968-01-16,2.07
1968-01-17,2.07
1968-01-18,2.06
1968-01-19,2.08
1968-01-22,2.09
1968-01-23,2.08
1968-01-24,2.06
1968-01-25,2.02
1968-01-26,2.07
1968-01-29,2.04
1968-01-30,2.02
1968-01-31,1.96
1968-02-01,2.0
1968-02-02,2.02
1968-02-05,2.0
1968-02-06,1.95
1968-02-07,1.97
1968-02-08,1.98
1968-02-09,1.94
1968-02-12,1.93
1968-02-13,1.92
1968-02-14,1.92
1968-02-15,1.94
1968-02-16,2.0
1968-02-19,1.97
1968-02-20,1.98
1968-02-21,2.03
1968-02-22,2.03
1968-02-23,2.02
1968-02-26,2.07
1968-02-27,2.11
1968-02-28,2.11
1968-02-29,2.08
1968-03-01,2.2
1968-03-04,2.19
1968-03-05,2.19
1968-03-06,2.13
1968-03-07,2.19
1968-03-08,2.23
1968-03-11,2.2
1968-03-12,2.22
1968-03-13,2.37
1968-03-14,2.49
1968-03-18,2.12
1968-03-19,2.4
1968-03-20,2.24
1968-03-21,2.3
1968-03-22,2.22
1968-03-25,2.24
1968-03-26,2.24
1968-03-27,2.3
1968-03-28,2.25
1968-03-29,2.28
1968-04-01,2.26
1968-04-02,2.2
1968-04-03,2.2
1968-04-04,2.13
1968-04-05,2.1
1968-04-08,2.13
1968-04-09,2.21
1968-04-10,2.2
1968-04-11,2.16
1968-04-16,2.25
1968-04-17,2.3
1968-04-18,2.23
1968-04-19,2.28
1968-04-22,2.36
1968-04-23,2.36
1968-04-24,2.3
1968-04-25,2.31
1968-04-26,2.33
1968-04-29,2.4
1968-04-30,2.4
1968-05-01,2.36
1968-05-02,2.3
1968-05-03,2.32
1968-05-06,2.34
1968-05-07,2.25
1968-05-08,2.32
1968-05-09,2.32
1968-05-10,2.36
1968-05-13,2.36
1968-05-14,2.38
1968-05-15,2.4
1968-05-16,2.46
1968-05-17,2.51
1968-05-20,2.51
1968-05-21,2.55
1968-05-22,2.47
1968-05-23,2.48
1968-05-24,2.5
1968-05-27,2.52
1968-05-28,2.49
1968-05-29,2.42
1968-05-30,2.48
1968-05-31,2.48
1968-06-04,2.43
1968-06-05,2.42
1968-06-06,2.45
1968-06-07,2.48
1968-06-10,2.45
1968-06-11,2.51
1968-06-12,2.58
1968-06-13,2.52
1968-06-14,2.47
1968-06-17,2.43
1968-06-18,2.43
1968-06-19,2.53
1968-06-20,2.47
1968-06-21,2.45
1968-06-24,2.48
1968-06-25,2.51
1968-06-26,2.49
1968-06-27,2.49
1968-06-28,2.5
1968-07-01,2.51
1968-07-02,2.46
1968-07-03,2.49
1968-07-04,2.49
1968-07-05,2.47
1968-07-08,2.44
1968-07-09,2.32
1968-07-10,2.42
1968-07-11,2.37
1968-07-12,2.35
1968-07-15,2.39
1968-07-16,2.35
1968-07-17,2.3
1968-07-18,2.24
1968-07-19,2.33
1968-07-22,2.29
1968-07-23,2.29
1968-07-24,2.33
1968-07-25,2.28
1968-07-26,2.28
1968-07-29,2.28
1968-07-30,2.24
1968-07-31,2.29
1968-08-01,2.23
1968-08-02,2.25
1968-08-05,2.2
1968-08-06,2.19
1968-08-07,2.21
1968-08-08,2.17
1968-08-09,2.15
1968-08-12,2.13
1968-08-13,2.06
1968-08-14,2.19
1968-08-15,2.21
1968-08-16,2.2
1968-08-19,2.18
1968-08-20,2.24
1968-08-21,2.33
