Date,US Debt Outstanding Amount,US GDP,US Debt as GDP percentage,US GDP per Capita,US GDP annual Growth
1790-01-01,71060509,,,,
1791-01-01,75463477,,,,
1792-01-01,77227925,,,,
1793-01-01,80358634,,,,
1794-01-01,78427405,,,,
1795-01-01,80747587,,,,
1796-01-01,83762172,,,,
1797-01-01,82064479,,,,
1798-01-01,79228529,,,,
1799-01-01,78408670,,,,
1800-01-01,82976294,,,,
1801-01-01,83038051,,,,
1802-01-01,80712632,,,,
1803-01-01,77054686,,,,
1804-01-01,86427121,,,,
1805-01-01,82312151,,,,
1806-01-01,75723271,,,,
1807-01-01,69218399,,,,
1808-01-01,65196318,,,,
1809-01-01,57023192,,,,
1810-01-01,53173218,,,,
1811-01-01,48005588,,,,
1812-01-01,45209738,,,,
1813-01-01,55962828,,,,
1814-01-01,81487846,,,,
1815-01-01,99833660,,,,
1816-01-01,127334934,,,,
1817-01-01,123491965,,,,
1818-01-01,103466634,,,,
1819-01-01,95529648,,,,
1820-01-01,91015566,,,,
1821-01-01,89987428,,,,
1822-01-01,93546677,,,,
1823-01-01,90875877,,,,
1824-01-01,90269778,,,,
1825-01-01,83788433,,,,
1826-01-01,81054060,,,,
1827-01-01,73987357,,,,
1828-01-01,67475044,,,,
1829-01-01,58421414,,,,
1830-01-01,48565407,,,,
1831-01-01,39123192,,,,
1832-01-01,24322235,,,,
1833-01-01,7001699,,,,
1834-01-01,4760082,,,,
1835-01-01,33733,,,,
1836-01-01,37513,,,,
1837-01-01,336958,,,,
1838-01-01,3308124,,,,
1839-01-01,10434221,,,,
1840-01-01,3573344,,,,
1841-01-01,5250876,,,,
1842-01-01,13594481,,,,
1843-01-01,20201226,,,,
1843-07-01,32742922,,,,
1844-07-01,23461653,,,,
1845-07-01,15925303,,,,
1846-07-01,15550203,,,,
1847-07-01,38826535,,,,
1848-07-01,47044862,,,,
1849-07-01,63061859,,,,
1850-07-01,63452774,,,,
1851-07-01,68304796,,,,
1852-07-01,66199342,,,,
1853-07-01,59803118,,,,
1854-07-01,42242222,,,,
1855-07-01,35586957,,,,
1856-07-01,31972538,,,,
1857-07-01,28699832,,,,
1858-07-01,44911881,,,,
1859-07-01,58496838,,,,
1860-07-01,64842288,,,,
1861-07-01,90580874,,,,
1862-07-01,524176412,,,,
1863-07-01,1119772139,,,,
1864-07-01,1815784371,,,,
1865-07-01,2680647870,,,,
1866-07-01,2773236174,,,,
1867-07-01,2678126104,,,,
1868-07-01,2611687851,,,,
1869-07-01,2588452214,,,,
1870-07-01,2480672428,,,,
1871-07-01,2353211332,,,,
1872-07-01,2253251329,,,,
