,Date,Gold,Silver,SP500,Median Home Price (NSA),Oil,bonds10Y,Inflation percentile,Growth percentile
13647,1871-01-01,,,4.44,,,,,
13648,1871-02-01,,,4.5,,,,,
13649,1871-03-01,,,4.61,,,,,
13650,1871-04-01,,,4.74,,,,,
13651,1871-05-01,,,4.86,,,,,
13652,1871-06-01,,,4.82,,,,,
13653,1871-07-01,,,4.73,,,,,
13654,1871-08-01,,,4.79,,,,,
13655,1871-09-01,,,4.84,,,,,
13656,1871-10-01,,,4.59,,,,,
13657,1871-11-01,,,4.64,,,,,
13658,1871-12-01,,,4.74,,,,,
13659,1872-01-01,,,4.86,,,,,
13660,1872-02-01,,,4.88,,,,,
13661,1872-03-01,,,5.04,,,,,
13662,1872-04-01,,,5.18,,,,,
13663,1872-05-01,,,5.18,,,,,
13664,1872-06-01,,,5.13,,,,,
13665,1872-07-01,,,5.1,,,,,
13666,1872-08-01,,,5.04,,,,,
13667,1872-09-01,,,4.95,,,,,
13668,1872-10-01,,,4.97,,,,,
13669,1872-11-01,,,4.95,,,,,
13670,1872-12-01,,,5.07,,,,,
13671,1873-01-01,,,5.11,,,,,
13672,1873-02-01,,,5.15,,,,,
13673,1873-03-01,,,5.11,,,,,
13674,1873-04-01,,,5.04,,,,,
13675,1873-05-01,,,5.05,,,,,
13676,1873-06-01,,,4.98,,,,,
13677,1873-07-01,,,4.97,,,,,
13678,1873-08-01,,,4.97,,,,,
13679,1873-09-01,,,4.59,,,,,
13680,1873-10-01,,,4.19,,,,,
13681,1873-11-01,,,4.04,,,,,
13682,1873-12-01,,,4.42,,,,,
13683,1874-01-01,,,4.66,,,,,
13684,1874-02-01,,,4.8,,,,,
13685,1874-03-01,,,4.73,,,,,
13686,1874-04-01,,,4.6,,,,,
13687,1874-05-01,,,4.48,,,,,
13688,1874-06-01,,,4.46,,,,,
13689,1874-07-01,,,4.46,,,,,
13690,1874-08-01,,,4.47,,,,,
13691,1874-09-01,,,4.54,,,,,
13692,1874-10-01,,,4.53,,,,,
13693,1874-11-01,,,4.57,,,,,
13694,1874-12-01,,,4.54,,,,,
13695,1875-01-01,,,4.54,,,,,
13696,1875-02-01,,,4.53,,,,,
13697,1875-03-01,,,4.59,,,,,
13698,1875-04-01,,,4.65,,,,,
13699,1875-05-01,,,4.47,,,,,
13700,1875-06-01,,,4.38,,,,,
13701,1875-07-01,,,4.39,,,,,
13702,1875-08-01,,,4.41,,,,,
13703,1875-09-01,,,4.37,,,,,
13704,1875-10-01,,,4.3,,,,,
13705,1875-11-01,,,4.37,,,,,
13706,1875-12-01,,,4.37,,,,,
13707,1876-01-01,,,4.46,,,,,
13708,1876-02-01,,,4.52,,,,,
13709,1876-03-01,,,4.51,,,,,
13710,1876-04-01,,,4.34,,,,,
13711,1876-05-01,,,4.18,,,,,
13712,1876-06-01,,,4.15,,,,,
13713,1876-07-01,,,4.1,,,,,
13714,1876-08-01,,,3.93,,,,,
13715,1876-09-01,,,3.69,,,,,
13716,1876-10-01,,,3.67,,,,,
13717,1876-11-01,,,3.6,,,,,
13718,1876-12-01,,,3.58,,,,,
13719,1877-01-01,,,3.55,,,,,
13720,1877-02-01,,,3.34,,,,,
13721,1877-03-01,,,3.17,,,,,
13722,1877-04-01,,,2.94,,,,,
13723,1877-05-01,,,2.94,,,,,
13724,1877-06-01,,,2.73,,,,,
13725,1877-07-01,,,2.85,,,,,
13726,1877-08-01,,,3.05,,,,,
13727,1877-09-01,,,3.24,,,,,
13728,1877-10-01,,,3.31,,,,,
13729,1877-11-01,,,3.26,,,,,
13730,1877-12-01,,,3.25,,,,,
13731,1878-01-01,,,3.25,,,,,
13732,1878-02-01,,,3.18,,,,,
13733,1878-03-01,,,3.24,,,,,
13734,1878-04-01,,,3.33,,,,,
13735,1878-05-01,,,3.34,,,,,
13736,1878-06-01,,,3.41,,,,,
13737,1878-07-01,,,3.48,,,,,
13738,1878-08-01,,,3.45,,,,,
13739,1878-09-01,,,3.52,,,,,
13740,1878-10-01,,,3.48,,,,,
13741,1878-11-01,,,3.47,,,,,
13742,1878-12-01,,,3.45,,,,,
13743,1879-01-01,,,3.58,,,,,
13744,1879-02-01,,,3.71,,,,,
13745,1879-03-01,,,3.65,,,,,
13746,1879-04-01,,,3.77,,,,,
13747,1879-05-01,,,3.94,,,,,
13748,1879-06-01,,,3.96,,,,,
13749,1879-07-01,,,4.04,,,,,
13750,1879-08-01,,,4.07,,,,,
13751,1879-09-01,,,4.22,,,,,
13752,1879-10-01,,,4.68,,,,,
13753,1879-11-01,,,4.93,,,,,
13754,1879-12-01,,,4.92,,,,,
13755,1880-01-01,,,5.11,,,,,
13756,1880-02-01,,,5.2,,,,,
13757,1880-03-01,,,5.3,,,,,
13758,1880-04-01,,,5.18,,,,,
13759,1880-05-01,,,4.77,,,,,
13760,1880-06-01,,,4.79,,,,,
13761,1880-07-01,,,5.01,,,,,
13762,1880-08-01,,,5.19,,,,,
13763,1880-09-01,,,5.18,,,,,
13764,1880-10-01,,,5.33,,,,,
13765,1880-11-01,,,5.61,,,,,
13766,1880-12-01,,,5.84,,,,,
13767,1881-01-01,,,6.19,,,,,
13768,1881-02-01,,,6.17,,,,,
13769,1881-03-01,,,6.24,,,,,
13770,1881-04-01,,,6.22,,,,,
13771,1881-05-01,,,6.5,,,,,
13772,1881-06-01,,,6.58,,,,,
13773,1881-07-01,,,6.35,,,,,
13774,1881-08-01,,,6.2,,,,,
13775,1881-09-01,,,6.25,,,,,
13776,1881-10-01,,,6.15,,,,,
13777,1881-11-01,,,6.19,,,,,
13778,1881-12-01,,,6.01,,,,,
13779,1882-01-01,,,5.92,,,,,
13780,1882-02-01,,,5.79,,,,,
13781,1882-03-01,,,5.78,,,,,
13782,1882-04-01,,,5.78,,,,,
13783,1882-05-01,,,5.71,,,,,
13784,1882-06-01,,,5.68,,,,,
13785,1882-07-01,,,6.0,,,,,
13786,1882-08-01,,,6.18,,,,,
13787,1882-09-01,,,6.24,,,,,
13788,1882-10-01,,,6.07,,,,,
13789,1882-11-01,,,5.81,,,,,
13790,1882-12-01,,,5.84,,,,,
13791,1883-01-01,,,5.81,,,,,
13792,1883-02-01,,,5.68,,,,,
13793,1883-03-01,,,5.75,,,,,
13794,1883-04-01,,,5.87,,,,,
13795,1883-05-01,,,5.77,,,,,
13796,1883-06-01,,,5.82,,,,,
13797,1883-07-01,,,5.73,,,,,
13798,1883-08-01,,,5.47,,,,,
13799,1883-09-01,,,5.53,,,,,
13800,1883-10-01,,,5.38,,,,,
13801,1883-11-01,,,5.46,,,,,
13802,1883-12-01,,,5.34,,,,,
13803,1884-01-01,,,5.18,,,,,
13804,1884-02-01,,,5.32,,,,,
13805,1884-03-01,,,5.3,,,,,
13806,1884-04-01,,,5.06,,,,,
13807,1884-05-01,,,4.65,,,,,
13808,1884-06-01,,,4.46,,,,,
13809,1884-07-01,,,4.46,,,,,
13810,1884-08-01,,,4.74,,,,,
13811,1884-09-01,,,4.59,,,,,
13812,1884-10-01,,,4.44,,,,,
13813,1884-11-01,,,4.35,,,,,
13814,1884-12-01,,,4.34,,,,,
13815,1885-01-01,,,4.24,,,,,
13816,1885-02-01,,,4.37,,,,,
13817,1885-03-01,,,4.38,,,,,
13818,1885-04-01,,,4.37,,,,,
13819,1885-05-01,,,4.32,,,,,
13820,1885-06-01,,,4.3,,,,,
13821,1885-07-01,,,4.46,,,,,
13822,1885-08-01,,,4.71,,,,,
13823,1885-09-01,,,4.65,,,,,
13824,1885-10-01,,,4.92,,,,,
13825,1885-11-01,,,5.24,,,,,
13826,1885-12-01,,,5.2,,,,,
13827,1886-01-01,,,5.2,,,,,
13828,1886-02-01,,,5.3,,,,,
13829,1886-03-01,,,5.19,,,,,
13830,1886-04-01,,,5.12,,,,,
13831,1886-05-01,,,5.02,,,,,
13832,1886-06-01,,,5.25,,,,,
13833,1886-07-01,,,5.33,,,,,
13834,1886-08-01,,,5.37,,,,,
13835,1886-09-01,,,5.51,,,,,
13836,1886-10-01,,,5.65,,,,,
13837,1886-11-01,,,5.79,,,,,
13838,1886-12-01,,,5.64,,,,,
13839,1887-01-01,,,5.58,,,,,
13840,1887-02-01,,,5.54,,,,,
13841,1887-03-01,,,5.67,,,,,
13842,1887-04-01,,,5.8,,,,,
13843,1887-05-01,,,5.9,,,,,
13844,1887-06-01,,,5.73,,,,,
13845,1887-07-01,,,5.59,,,,,
13846,1887-08-01,,,5.45,,,,,
13847,1887-09-01,,,5.38,,,,,
13848,1887-10-01,,,5.2,,,,,
13849,1887-11-01,,,5.3,,,,,
13850,1887-12-01,,,5.27,,,,,
13851,1888-01-01,,,5.31,,,,,
13852,1888-02-01,,,5.28,,,,,
13853,1888-03-01,,,5.08,,,,,
13854,1888-04-01,,,5.1,,,,,
13855,1888-05-01,,,5.17,,,,,
13856,1888-06-01,,,5.01,,,,,
13857,1888-07-01,,,5.14,,,,,
13858,1888-08-01,,,5.25,,,,,
13859,1888-09-01,,,5.38,,,,,
13860,1888-10-01,,,5.35,,,,,
13861,1888-11-01,,,5.24,,,,,
13862,1888-12-01,,,5.14,,,,,
13863,1889-01-01,,,5.24,,,,,
13864,1889-02-01,,,5.3,,,,,
13865,1889-03-01,,,5.19,,,,,
13866,1889-04-01,,,5.18,,,,,
13867,1889-05-01,,,5.32,,,,,
13868,1889-06-01,,,5.41,,,,,
13869,1889-07-01,,,5.3,,,,,
13870,1889-08-01,,,5.37,,,,,
13871,1889-09-01,,,5.5,,,,,
13872,1889-10-01,,,5.4,,,,,
13873,1889-11-01,,,5.35,,,,,
13874,1889-12-01,,,5.32,,,,,
13875,1890-01-01,,,5.38,,,,,
13876,1890-02-01,,,5.32,,,,,
13877,1890-03-01,,,5.28,,,,,
13878,1890-04-01,,,5.39,,,,,
13879,1890-05-01,,,5.62,,,,,
13880,1890-06-01,,,5.58,,,,,
13881,1890-07-01,,,5.54,,,,,
13882,1890-08-01,,,5.41,,,,,
13883,1890-09-01,,,5.32,,,,,
13884,1890-10-01,,,5.08,,,,,
13885,1890-11-01,,,4.71,,,,,
13886,1890-12-01,,,4.6,,,,,
13887,1891-01-01,,,4.84,,,,,
13888,1891-02-01,,,4.9,,,,,
13889,1891-03-01,,,4.81,,,,,
13890,1891-04-01,,,4.97,,,,,
13891,1891-05-01,,,4.95,,,,,
13892,1891-06-01,,,4.85,,,,,
13893,1891-07-01,,,4.77,,,,,
13894,1891-08-01,,,4.93,,,,,
13895,1891-09-01,,,5.33,,,,,
13896,1891-10-01,,,5.33,,,,,
13897,1891-11-01,,,5.25,,,,,
13898,1891-12-01,,,5.41,,,,,
13899,1892-01-01,,,5.51,,,,,
13900,1892-02-01,,,5.52,,,,,
13901,1892-03-01,,,5.58,,,,,
13902,1892-04-01,,,5.57,,,,,
13903,1892-05-01,,,5.57,,,,,
13904,1892-06-01,,,5.54,,,,,
13905,1892-07-01,,,5.54,,,,,
13906,1892-08-01,,,5.62,,,,,
13907,1892-09-01,,,5.48,,,,,
13908,1892-10-01,,,5.59,,,,,
13909,1892-11-01,,,5.57,,,,,
13910,1892-12-01,,,5.51,,,,,
13911,1893-01-01,,,5.61,,,,,
13912,1893-02-01,,,5.51,,,,,
13913,1893-03-01,,,5.31,,,,,
13914,1893-04-01,,,5.31,,,,,
13915,1893-05-01,,,4.84,,,,,
13916,1893-06-01,,,4.61,,,,,
13917,1893-07-01,,,4.18,,,,,
13918,1893-08-01,,,4.08,,,,,
13919,1893-09-01,,,4.37,,,,,
13920,1893-10-01,,,4.5,,,,,
13921,1893-11-01,,,4.57,,,,,
13922,1893-12-01,,,4.41,,,,,
13923,1894-01-01,,,4.32,,,,,
13924,1894-02-01,,,4.38,,,,,
13925,1894-03-01,,,4.51,,,,,
13926,1894-04-01,,,4.57,,,,,
13927,1894-05-01,,,4.4,,,,,
13928,1894-06-01,,,4.34,,,,,
13929,1894-07-01,,,4.25,,,,,
13930,1894-08-01,,,4.41,,,,,
13931,1894-09-01,,,4.48,,,,,
13932,1894-10-01,,,4.34,,,,,
13933,1894-11-01,,,4.34,,,,,
13934,1894-12-01,,,4.3,,,,,
13935,1895-01-01,,,4.25,,,,,
13936,1895-02-01,,,4.19,,,,,
13937,1895-03-01,,,4.19,,,,,
13938,1895-04-01,,,4.37,,,,,
13939,1895-05-01,,,4.61,,,,,
13940,1895-06-01,,,4.7,,,,,
13941,1895-07-01,,,4.72,,,,,
13942,1895-08-01,,,4.79,,,,,
13943,1895-09-01,,,4.82,,,,,
13944,1895-10-01,,,4.75,,,,,
13945,1895-11-01,,,4.59,,,,,
13946,1895-12-01,,,4.32,,,,,
13947,1896-01-01,,,4.27,,,,,
13948,1896-02-01,,,4.45,,,,,
13949,1896-03-01,,,4.38,,,,,
13950,1896-04-01,,,4.42,,,,,
13951,1896-05-01,,,4.4,,,,,
13952,1896-06-01,,,4.32,,,,,
13953,1896-07-01,,,4.04,,,,,
13954,1896-08-01,,,3.81,,,,,
13955,1896-09-01,,,4.01,,,,,
13956,1896-10-01,,,4.1,,,,,
13957,1896-11-01,,,4.38,,,,,
13958,1896-12-01,,,4.22,,,,,
